,2001,2001,,2001,,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023,2023,2024,2024,2024,2024
,Mammal,Other,,Shark,,Turtle,Mammal,Other,Shark,Turtle,Mammal,Other,Shark,Turtle,Mammal,Other,Shark,Turtle,Mammal,Other,Shark,Turtle,Mammal,Other,Shark,Turtle,Mammal,Other,Shark,Turtle,Mammal,Other,Shark,Turtle,Mammal,Other,Shark,Turtle,Mammal,Other,Shark,Turtle,Mammal,Other,Shark,Turtle,Mammal,Other,Shark,Turtle,Mammal,Other,Shark,Turtle,Mammal,Other,Shark,Turtle,Mammal,Other,Shark,Turtle,Mammal,Other,Shark,Turtle,Mammal,Other,Shark,Turtle,Mammal,Other,Shark,Turtle,Mammal,Other,Shark,Turtle,Mammal,Other,Shark,Turtle,Mammal,Other,Shark,Turtle,Mammal,Other,Shark,Turtle,Mammal,Other,Shark,Turtle,Mammal,Other,Shark,Turtle
Bribie Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,1,,,,1,,,,1,1,1,,3,,1,,2,1,,,,
Bundaberg,,1,,62,,12,,3,62,7,,1,50,5,,1,39,8,,6,69,5,,1,49,2,,6,48,5,,3,53,5,,3,30,6,,3,42,11,,6,65,9,,3,56,3,,4,76,1,,3,57,5,,5,45,7,,,52,1,,1,54,,,1,53,,,1,58,,,1,55,,,2,73,,,,64,,,1,54,1,,,25,
Cairns,1,16,,79,,4,,18,46,6,,20,66,1,,19,62,3,2,18,66,2,,11,41,4,5,14,76,2,,14,55,5,,11,60,4,1,20,71,3,,20,91,2,,21,91,2,,9,74,,,,71,,,,116,,,2,51,,,,47,,,,43,,,,43,,,1,62,,,1,58,,,2,60,,,,66,,,,66,
Capricorn Coast,,3,,87,,,,4,91,2,1,3,66,2,,2,80,,,1,84,,,3,68,,1,1,81,,,2,69,1,1,1,60,1,,1,65,,,1,66,,1,10,105,2,,1,116,4,,7,66,,,3,71,1,,4,54,,,2,41,,,1,43,1,,1,38,,,1,50,,,1,144,3,,8,178,10,,4,244,3,,2,128,
Gladstone,,,,32,,,,1,18,1,,1,30,3,,,51,8,,2,40,4,,,54,2,,,49,,,,52,,,,63,,,,57,,,,76,,,,67,,,1,59,,,,50,,,,46,,,,52,,,,45,,,,36,,,,42,1,,,29,1,,,34,3,,,47,2,,1,87,5,,,60,
Gold Coast,9,34,,85,,27,8,39,73,22,10,28,75,8,14,28,75,4,15,35,78,8,7,16,38,8,10,11,35,6,18,17,34,4,15,164,37,5,16,81,39,9,6,29,38,10,9,30,49,8,9,12,34,9,15,18,36,9,3,26,47,5,9,21,46,10,13,44,59,10,8,33,50,13,8,56,60,6,9,26,84,10,5,21,84,4,10,5,69,18,8,18,85,5,,3,19,2
Mackay,,36,,134,,2,1,12,94,5,,12,82,4,,24,108,3,,7,75,1,,10,59,8,,7,68,,,16,73,1,,2,67,,,4,74,,2,13,52,2,,6,100,1,,38,84,1,,11,110,,3,47,82,,,2,66,,,3,55,,,1,40,,,1,44,,,5,68,,,2,93,,,1,61,,,4,72,,,,19,
Nth Stradbroke Is.,,,,20,,6,,,16,6,,,8,14,,,1,8,,,5,9,1,,23,6,,,21,5,,,20,8,,2,26,1,,1,24,,,,16,,1,,17,1,,1,16,1,,1,8,,,,22,2,,,10,2,,1,13,3,1,,21,,1,1,15,,2,,14,3,2,1,24,12,2,2,16,8,1,2,13,3,,,6,
