Area,Year,chl-a
Offshore,2002,0.090574904
Offshore,2003,0.170339658
Offshore,2004,0.191075402
Offshore,2005,0.166672206
Offshore,2006,0.163105853
Offshore,2007,0.235927316
Offshore,2008,0.187216211
Offshore,2009,0.155874372
Offshore,2010,0.226957398
Offshore,2011,0.195610911
Offshore,2012,0.185097781
Offshore,2013,0.186738606
Offshore,2014,0.193584283
Offshore,2015,0.209115175
Offshore,2016,0.16908696
Offshore,2017,0.236700084
Offshore,2018,0.168895221
Offshore,2019,0.172270996
Offshore,2020,0.111410586
Midshore,2002,0.090574904
Midshore,2003,0.236311957
Midshore,2004,0.283092884
Midshore,2005,0.284729061
Midshore,2006,0.196092002
Midshore,2007,0.345301281
Midshore,2008,0.254928109
Midshore,2009,0.207957766
Midshore,2010,0.211331218
Midshore,2011,0.258110983
Midshore,2012,0.254543468
Midshore,2013,0.244030339
Midshore,2014,0.235253323
Midshore,2015,0.212586239
Midshore,2016,0.203810385
Midshore,2017,0.215865564
Midshore,2018,0.196673031
Midshore,2019,0.387549024
Midshore,2020,0.173911821
Onshore,2002,0.241615585
Onshore,2003,0.680756917
Onshore,2004,1.114688749
Onshore,2005,0.850703103
Onshore,2006,0.409635079
Onshore,2007,0.737662848
Onshore,2008,0.584790766
Onshore,2009,0.339902364
Onshore,2010,0.433553698
Onshore,2011,0.412625052
Onshore,2012,0.697251154
Onshore,2013,0.436738896
Onshore,2014,0.552962025
Onshore,2015,0.386198714
Onshore,2016,0.875683841
Onshore,2017,0.47454642
Onshore,2018,0.326880353
Onshore,2019,0.849355116
Onshore,2020,0.383980347
